dataset,seed,method,mse,mcc,dcor,sfd,time,num_params
simulated,0,fa,67.26169878375202,0.4471166278072109,0.3377293489624121,510,0.4737692619673908,120
simulated,0,vae,0.2631887084293677,0.7327003967698787,0.7895170154672058,510,39.54554892895976,7350
simulated,0,lgminmcm,0.939600016503481,0.9390440106008876,0.9316611653980836,11,0.0380084980279207,36
simulated,0,ncfa,0.9315303836795276,0.9284681813339022,0.9213592374562828,0,31.216132107016165,6300
simulated,1,fa,19.71517288264833,0.4389954543473575,0.4337709765148863,508,0.6440400090068579,120
simulated,1,vae,0.259057762135338,0.839938196217734,0.8010157792852773,508,42.27133828599472,7350
simulated,1,lgminmcm,0.9761067030895056,0.9510243046444196,0.9437105905300416,4,0.0728752799914218,35
simulated,1,ncfa,0.9932191455837428,0.9407901880095974,0.9334727760708496,7,43.8299936010153,6300
simulated,2,fa,23.41252028699832,0.3586761260357132,0.3932129344431047,510,0.3599383239634335,120
simulated,2,vae,0.3348696936895003,0.7918773712778764,0.8356791254022358,510,45.70366026699776,7350
simulated,2,lgminmcm,0.7624267718376064,0.9441332843156884,0.9387838848610917,13,0.0726073220139369,36
simulated,2,ncfa,0.7635033383830562,0.92929471266245,0.9246251516465706,0,47.8412275640294,6300
simulated,3,fa,6.106185725784769,0.5154707781538772,0.4858063290353972,510,0.3914826699765399,120
simulated,3,vae,0.2409352923401688,0.6812337283522313,0.7678548371597425,510,56.17044318997068,7350
simulated,3,lgminmcm,0.976348813039518,0.9210367355964652,0.9103474562833735,11,0.0436075420002453,36
simulated,3,ncfa,0.92950098453344,0.9127784903149052,0.9024776154082996,13,34.817739321966656,6300
simulated,4,fa,30.908858522607115,0.4451291742330007,0.3931098631820127,510,0.8585660890094005,120
simulated,4,vae,0.2085825462696663,0.6979345317037405,0.7560068356914627,510,50.03796057600994,7350
simulated,4,lgminmcm,1.0062747284033553,0.9150165220194282,0.9050205187687363,17,0.0616004699841141,37
simulated,4,ncfa,0.9960071381988376,0.9030447136628258,0.8943968015007815,0,53.9306233379757,6300
simulated,5,fa,20.242391133268047,0.4705435780180819,0.4176810355087896,510,0.5443872780306265,120
simulated,5,vae,0.250027955269174,0.7585486685842979,0.7717558281766241,510,48.73872950399527,7350
simulated,5,lgminmcm,0.957507148338636,0.9188246462990336,0.911470474662346,11,0.0626635419903323,36
simulated,5,ncfa,0.952216851857012,0.9037768606904568,0.897722152527715,11,41.392036149976775,6300
simulated,6,fa,24.641173294538213,0.3921866347428162,0.3686487758546407,508,0.6877389650326222,120
simulated,6,vae,0.2179776738071239,0.815581577666078,0.763158373404652,508,53.05790641799104,7350
simulated,6,lgminmcm,0.941035420772485,0.9205305696776808,0.9098914063416836,7,0.0373875529621727,35
simulated,6,ncfa,0.910513674973698,0.914197155663198,0.9037357542275938,6,58.14732130197808,6300
simulated,7,fa,11.533193806170756,0.4173516714840826,0.4190583091504932,510,0.3678621990256943,120
simulated,7,vae,0.2871910141761423,0.6447553384835508,0.7652260504134621,510,61.50884635502007,7350
simulated,7,lgminmcm,0.8712781639989793,0.8967463972328908,0.8896985932688881,0,0.0657873680465854,34
simulated,7,ncfa,0.8267858392359915,0.8811277307761407,0.874623505854336,6,28.31114345503738,6300
simulated,8,fa,16.775374556025326,0.455720386699624,0.5166169193570785,506,0.7190038810367696,120
simulated,8,vae,0.258974356588284,0.7131159684970886,0.7463002403535559,506,53.4114583460032,7350
simulated,8,lgminmcm,0.8133901017480781,0.8745889314343382,0.8671780978132884,8,0.06130988500081,35
simulated,8,ncfa,0.7569816073703721,0.8507326858317553,0.844391443647452,9,23.91172048699809,6300
simulated,9,fa,4.171402629572083,0.5480176087203891,0.5224683714353157,504,0.6663605970097706,120
simulated,9,vae,0.2527787848044047,0.7170462382715224,0.796681380849401,504,59.8983883629553,7350
simulated,9,lgminmcm,0.8351505741451047,0.9111900693191772,0.9093618352457948,0,0.0630132739897817,34
simulated,9,ncfa,0.8082716816835324,0.9041226780571108,0.8993889448751268,0,45.83118974999525,6300
simulated,10,fa,18.52078558462762,0.4872123189035508,0.5302403702814741,506,0.4318681770237162,120
simulated,10,vae,0.2128059911711553,0.8771029614298652,0.7431249203192847,506,44.34259721904528,7350
simulated,10,lgminmcm,1.0632604791310205,0.9156782386628856,0.9073671735378692,0,0.0367805830319412,34
simulated,10,ncfa,1.0257618042670875,0.8015785222298918,0.8949145119828088,30,32.1181668160134,6300
simulated,11,fa,24.253484350988103,0.526354146441964,0.4516145515646227,508,0.7348600960103795,120
simulated,11,vae,0.2383518314803921,0.7741028451882793,0.7877095928077068,508,48.448949604993686,7350
simulated,11,lgminmcm,0.9221751931592332,0.9415906660834792,0.9330207397032944,4,0.0963019679766148,35
simulated,11,ncfa,0.9051010555948482,0.9289302030419458,0.9198212692324896,0,62.269771004037466,6300
simulated,12,fa,21.53453390931576,0.4170479898992116,0.4441836541178665,506,0.5734016440110281,120
simulated,12,vae,0.2603070089778458,0.8985496753900636,0.7770962128975509,506,58.7590085589909,7350
simulated,12,lgminmcm,1.0789267219390135,0.939492432955347,0.9327542723656312,22,0.0938113600132055,38
simulated,12,ncfa,1.1785307571580017,0.7483707657411451,0.9194096786570634,23,46.7754321959801,6300
simulated,13,fa,19.55095434672645,0.4095705219786154,0.3922688271679139,506,0.3667946679634042,120
simulated,13,vae,0.210304869618263,0.7187038355720515,0.7479129816937082,506,40.20396607299335,7350
simulated,13,lgminmcm,1.0291055535442393,0.8987233618798843,0.8930969629509727,12,0.0517449789913371,36
simulated,13,ncfa,0.96630966063394,0.854842208479957,0.8612981857433119,30,29.96972565498436,6300
simulated,14,fa,5.768489586742091,0.5830974473319291,0.5166513983601076,510,0.6665624059969559,120
simulated,14,vae,0.244925060621034,0.7310810616202267,0.7855349474500446,510,20.56533570896136,7350
simulated,14,lgminmcm,0.989236388849467,0.9348388499560282,0.9256293618354576,11,0.0458812789875082,36
simulated,14,ncfa,0.957713158433508,0.9254105414262715,0.9162893917768642,0,66.18634018598823,6300
simulated,15,fa,18.66009429575192,0.5640693567797957,0.4370953691617996,509,0.6983767079655081,120
simulated,15,vae,0.2539270692609624,0.7605578326271328,0.7675746738186074,509,35.788565438997466,7350
simulated,15,lgminmcm,0.9565975486299398,0.9055997182349192,0.8999820477283055,0,0.0631905139889568,34
simulated,15,ncfa,0.9205229346798686,0.8919698024470502,0.8853849371246266,0,59.0856735240086,6300
simulated,16,fa,19.94506947809433,0.3674726302511792,0.4038664796122362,509,0.4903585579595528,120
simulated,16,vae,0.2022301269846772,0.9301229481450104,0.7937459797242096,509,48.39741410303395,7350
simulated,16,lgminmcm,0.9653183204362148,0.9439034139430416,0.9375071893387456,0,0.0511688769911415,34
simulated,16,ncfa,0.955629855143394,0.7946363374576487,0.9299592092178216,28,51.71867867896799,6300
simulated,17,fa,17.83154983116507,0.444065191123483,0.4311835000977714,509,0.3673315729829483,120
simulated,17,vae,0.2494075113769063,0.712747483266965,0.7888194571882143,509,43.13348397996742,7350
simulated,17,lgminmcm,0.8737942152921953,0.9406261652987884,0.9325219637393832,5,0.0586903700022958,35
simulated,17,ncfa,0.8708527849194235,0.932126264329855,0.9241045108451796,25,63.808952969964594,6300
simulated,18,fa,8.247113016374024,0.6275260582102142,0.4938057060688838,509,0.7215792590286583,120
simulated,18,vae,0.1886893916634489,0.7258288718464386,0.7392584225101098,509,53.80024546198547,7350
simulated,18,lgminmcm,1.158290930729337,0.9168720516733028,0.9053211299646934,5,0.0871452470310032,35
simulated,18,ncfa,1.131633473545329,0.9114157322448578,0.9002120701860371,5,39.05746341496706,6300
simulated,19,fa,19.344409694000515,0.4418024685513571,0.3713440532090327,510,0.4873249739757739,120
simulated,19,vae,0.2788250815560085,0.7462693813943214,0.7995535653817134,510,44.091623912972864,7350
simulated,19,lgminmcm,0.8405613949660554,0.937849334936246,0.929914014696497,6,0.0381265199976041,35
simulated,19,ncfa,0.811481114245058,0.9264253746795884,0.918139522580408,5,63.5661805489799,6300
simulated,20,fa,13.928378820774432,0.5113191395821476,0.4731744115910218,508,0.7298501280019991,120
simulated,20,vae,0.2156533173987965,0.7483681280398252,0.774556003052798,508,52.644147204991896,7350
simulated,20,lgminmcm,0.9181696810725164,0.9282463354797108,0.9197304493739582,6,0.0725987289915792,35
simulated,20,ncfa,0.8774671282022044,0.9153397501640924,0.9066640697263624,7,53.85741581901675,6300
simulated,21,fa,7.967656732337639,0.5101074876813826,0.4797663067856123,508,0.79353240999626,120
simulated,21,vae,0.2532778632886071,0.6722748939199992,0.775024009852086,508,59.42972016602289,7350
simulated,21,lgminmcm,0.9233468404448868,0.9168570431381352,0.9107702067448792,17,0.0722559590358287,37
simulated,21,ncfa,0.9146273233708524,0.9053249833222624,0.899677550617167,4,26.73983768798644,6300
simulated,22,fa,15.166953535711029,0.3945786326566591,0.4445452756624962,506,0.7411638129851781,120
simulated,22,vae,0.2606893424265085,0.8535242368957556,0.7830438673968183,506,60.55285493697738,7350
simulated,22,lgminmcm,0.917249974544338,0.9306597968064012,0.923322576021086,4,0.0570426909835077,35
